标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_28,550MB,14466407,8709810,60.21%,148232,14318175,98.98%,0.32KB/s,193.24KB/s,0.0~200.0GB,0.0~200.0GB,0.471GB,0.468GB,0.0~200.0GB,117.918GB,-0.286904,-0.013717,-0.930014,92.4/3.9/3.0/0.7/0.0/0.0%,32.2/13.7/37.3/16.1/0.8/0.0%,0.197,0,,0.1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_29,444MB,11308936,2868997,25.37%,141654,11167282,98.75%,2.38KB/s,1262.91KB/s,0.01~499.38GB,0.01~499.37GB,3.782GB,0.104GB,0.0~500.0GB,467.074GB,-0.069885,0.007573,-0.207198,64.4/16.0/7.9/5.0/6.7/0.0%,15.4/7.8/6.9/11.0/58.9/0.0%,0.823,0.207,,0.727665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_30,1.44GB,39965300,1546408,3.87%,4448012,35517288,88.87%,39.24KB/s,83.65KB/s,0.01~44.0GB,0.01~44.0GB,4.655GB,0.461GB,0.0~38.37GB,6.897GB,0.384179,0.054348,-0.715826,37.7/30.6/21.9/9.7/0.0/0.0%,83.0/15.3/0.2/1.4/0.0/0.0%,0.978,0,,0.383126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_31,147MB,3970629,185161,4.66%,11584,3959045,99.71%,0.48KB/s,13.2KB/s,0.26~52.25GB,0.26~52.25GB,1.227GB,0.033GB,0.0~54.63GB,3.508GB,None,None,-0.818679,26.9/19.1/20.2/15.0/18.7/0.0%,66.6/23.5/9.2/0.8/0.0/0.0%,0.007,0,,0.343398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_32,6.17GB,164231123,25062649,15.26%,11023031,153208092,93.29%,109.35KB/s,3201.36KB/s,0.0~499.99GB,0.0~499.99GB,164.587GB,34.622GB,0.0~500.0GB,341.492GB,0.146076,0.202411,0.663185,92.6/1.1/1.3/0.6/4.4/0.0%,57.4/12.9/14.6/6.7/8.3/0.0%,0.141,0.377,,0.374418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_33,1.39GB,38646657,1705053,4.41%,2524995,36121662,93.47%,26.58KB/s,84.13KB/s,0.01~44.0GB,0.01~44.0GB,4.885GB,0.629GB,0.0~40.23GB,7.602GB,0.499907,0.08971,-0.760999,36.8/28.0/21.5/13.8/0.0/0.0%,83.3/15.0/0.4/1.3/0.0/0.0%,0.944,0,,0.374027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_34,731MB,18990539,1650420,8.69%,3032,18987507,99.98%,0.03KB/s,230.55KB/s,0.0~197.27GB,0.0~197.27GB,0.019GB,0.005GB,0.0~197.81GB,64.772GB,0.048224,None,0.228928,37.6/47.9/7.9/3.7/2.9/0.0%,35.3/48.9/8.9/2.5/4.4/0.0%,0.796,0.74,,0.318333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_35,554MB,14612619,8774086,60.04%,153862,14458757,98.95%,0.34KB/s,196.68KB/s,0.0~200.0GB,0.0~200.0GB,0.481GB,0.479GB,0.0~200.0GB,103.753GB,-0.267109,-0.012745,-0.927248,92.1/3.9/3.1/0.8/0.0/0.0%,32.1/13.9/37.0/16.1/0.8/0.0%,0.207,0,,0.143257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_36,551MB,14443389,8687110,60.15%,151105,14292284,98.95%,0.32KB/s,196.97KB/s,0.0~200.0GB,0.0~200.0GB,0.482GB,0.479GB,0.0~200.0GB,110.295GB,-0.276451,-0.014522,-0.92794,93.0/3.5/2.8/0.7/0.0/0.0%,32.3/13.3/37.0/16.6/0.8/0.0%,0.19,0,,0.143355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_37,771MB,20217233,3007199,14.87%,1268263,18948970,93.73%,22.42KB/s,163.82KB/s,0.0~439.2GB,0.0~439.2GB,31.676GB,0.775GB,0.0~440.37GB,126.2GB,0.11842,0.091025,-0.96802,30.2/45.0/10.5/8.9/5.5/0.0%,53.5/33.9/6.0/4.4/2.1/0.0%,0.917,0.262,,0.667598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
