标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R(暂时出错),Pea_WB_W(暂时出错),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1296,257MB,9444606,571299,6.05%,527734,8916872,94.41%,30.17KB/s,144.85KB/s,0.0~26.0GB,,0.248GB,,0.0~26.0GB,6.329GB,,None,0.707579,-0.077484,0.954066,,,,,,0.250455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1304,56MB,2074057,71930,3.47%,63276,2010781,96.95%,5.92KB/s,122.29KB/s,0.0~26.0GB,,0.162GB,,0.0~26.0GB,0.498GB,,None,0.83894,-0.424575,0.534132,,,,,,0.348158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1306,103MB,3640349,1465339,40.25%,37275,3603074,98.98%,13.79KB/s,47.06KB/s,0.57~127.21GB,,1.213GB,,0.13~130.6GB,11.787GB,,None,None,-0.040474,-0.953723,,,,,,0.171584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1308,91MB,3301208,378204,11.46%,146094,3155114,95.57%,14.55KB/s,36.51KB/s,0.0~49.25GB,,0.075GB,,0.0~49.39GB,2.154GB,,None,None,0.725491,0.23558,,,,,,0.52439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1316,29MB,1100576,118856,10.80%,1385,1099191,99.87%,0.05KB/s,12.13KB/s,0.14~7.79GB,,0.011GB,,0.0~51.5GB,0.539GB,,None,None,0.282636,-0.520347,,,,,,0.333564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1317,134MB,4644615,136580,2.94%,298373,4346242,93.58%,2.43KB/s,1638.43KB/s,0.0~17.1GB,,0.581GB,,0.0~17.1GB,0.557GB,,None,0.946971,0.03792,0.907365,,,,,,0.72514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1326,7.22GB,269850978,2742908,1.02%,185939131,83911847,31.10%,3899.65KB/s,1611.65KB/s,0.0~52.0GB,,17.007GB,,0.0~52.0GB,16.73GB,,0.676546,0.05922,0.89717,0.751382,,,,,,0.441211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1335,62MB,2280617,122322,5.36%,160282,2120335,92.97%,9.61KB/s,221.61KB/s,0.0~25.98GB,,0.363GB,,0.0~26.0GB,1.191GB,,None,0.643235,0.088322,0.725194,,,,,,0.386324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1342,87MB,3177303,274696,8.65%,453637,2723666,85.72%,20.61KB/s,65.7KB/s,0.0~47.96GB,,2.555GB,,0.0~47.96GB,1.957GB,,0.528548,0.704649,0.344221,-0.025948,,,,,,0.457062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1344,1.45GB,56189122,47869,0.09%,20966,56168156,99.96%,0.87KB/s,864.15KB/s,0.0~1.5GB,,0.208GB,,0.0~1.5GB,0.44GB,,None,0.803918,-0.021518,0.842142,,,,,,0.166597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1351,5.3GB,187273649,1460005,0.78%,156226250,31047399,16.58%,10138.1KB/s,13951.47KB/s,0.0~52.0GB,,4.676GB,,0.0~33.11GB,4.74GB,,0.896773,0.487821,0.291443,0.816834,,,,,,0.919963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1360,14.18GB,482986216,2306663,0.48%,478904251,4081965,0.85%,56989.97KB/s,386.73KB/s,0.04~995.13GB,,33.157GB,,0.0~994.42GB,72.817GB,,0.700858,-0.832644,0.887994,-0.873607,,,,,,0.783029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1362,121MB,4166763,1264642,30.35%,82856,4083907,98.01%,6.35KB/s,383.37KB/s,0.01~93.5GB,,2.038GB,,0.0~93.61GB,13.72GB,,None,0.441284,-0.048266,0.637321,,,,,,0.358872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1368,36MB,1370631,76100,5.55%,12641,1357990,99.08%,1.35KB/s,24.67KB/s,0.02~25.99GB,,0.172GB,,0.0~26.0GB,0.667GB,,0.504435,0.793571,0.136771,0.657334,,,,,,0.289551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1371,32MB,1165948,117994,10.12%,24149,1141799,97.93%,0.64KB/s,23.88KB/s,0.0~453.51GB,,0.306GB,,0.0~177.47GB,1.533GB,,None,-0.325521,-0.02934,-0.912949,,,,,,0.357905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1380,52MB,1906679,275012,14.42%,28155,1878524,98.52%,2.77KB/s,82.05KB/s,0.05~49.61GB,,0.013GB,,0.0~49.62GB,6.005GB,,None,0.150089,0.679505,0.169991,,,,,,0.578689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1383,345MB,12513880,290234,2.32%,7494002,5019878,40.11%,426.65KB/s,55.42KB/s,0.0~26.0GB,,1.781GB,,0.0~26.0GB,2.901GB,,None,-0.311545,-0.710391,-0.498428,,,,,,0.549724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1387,69MB,2610806,101063,3.87%,143389,2467417,94.51%,8.0KB/s,19.33KB/s,0.09~44.57GB,,0.171GB,,0.0~44.6GB,0.473GB,,0.211228,0.48365,-0.082933,-0.612323,,,,,,0.317625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1394,1.99GB,68525885,2724817,3.98%,674739,67851146,99.02%,78.18KB/s,1078.49KB/s,263.27~534.0GB,,2.21GB,,0.0~534.0GB,14.087GB,,None,0.793055,-0.055986,0.95794,,,,,,0.072992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1400,200MB,7228412,670691,9.28%,2511886,4716526,65.25%,153.88KB/s,124.01KB/s,0.01~45.42GB,,2.69GB,,0.0~45.42GB,3.595GB,,0.34118,0.651889,-0.657247,0.675216,,,,,,0.564447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1407,327MB,11405543,311388,2.73%,1705497,9700046,85.05%,97.97KB/s,2069.2KB/s,0.0~26.0GB,,1.536GB,,0.0~26.0GB,1.545GB,,-0.136517,0.03319,-0.45688,0.279644,,,,,,0.690975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
