标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,读空间大小,平均读IO大小,写空间范围,写空间大小,平均写IO大小,Pea_RB_WB(h),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr_1,2.28GB,45283980,13966057,30.84%,41426266,3857714,8.52%,3604.91KB/s,97.31KB/s,0.0~820.29GB,651.167GB,,0.0~820.29GB,24.567GB,,,0.596227,-0.16255,,,,,,0.311874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr_2,547MB,10570046,7374757,69.77%,8575434,1994612,18.87%,720.01KB/s,45.89KB/s,0.0~530.38GB,377.801GB,,0.0~530.39GB,10.024GB,,,-0.014751,-0.469275,,,,,,0.294109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wdev_0,57MB,1143261,48626,4.25%,229529,913732,79.92%,4.77KB/s,12.39KB/s,0.0~11.7GB,0.196GB,,0.0~16.96GB,0.344GB,,,0.657717,-0.446996,,,,,,0.279227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wdev_1,0MB,1055,186,17.63%,0,1055,100.00%,0.0KB/s,0.01KB/s,93132257461.55~0.0GB,0.0GB,,2.49~50.87GB,0.001GB,,,None,0.886946,,,,,,0.019905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wdev_2,9MB,181266,13033,7.19%,189,181077,99.90%,0.0KB/s,2.47KB/s,0.0~33.92GB,0.001GB,,0.0~33.92GB,0.079GB,,,0.930948,0.997111,,,,,,0.293563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wdev_3,0MB,682,120,17.60%,11,671,98.39%,0.0KB/s,0.0KB/s,2.54~2.55GB,0.001GB,,0.01~33.92GB,0.0GB,,,None,0.943945,,,,,,0.02346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web_0,102MB,2029945,263014,12.96%,606487,1423458,70.12%,30.08KB/s,20.24KB/s,0.0~33.91GB,7.147GB,,0.0~33.91GB,0.695GB,,,-0.123597,-0.915486,,,,,,0.329965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web_1,8MB,160891,77698,48.29%,87058,73833,45.89%,6.61KB/s,1.13KB/s,0.0~67.83GB,3.644GB,,0.0~67.83GB,0.103GB,,,-0.080147,-0.408147,,,,,,0.226688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web_2,263MB,5175368,1321270,25.53%,5136405,38963,0.75%,455.88KB/s,1.36KB/s,0.0~169.58GB,65.863GB,,0.0~169.58GB,0.705GB,,,0.341311,-0.473093,,,,,,0.204799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web_3,1MB,31380,27112,86.40%,10050,21330,67.97%,1.27KB/s,0.75KB/s,0.0~169.58GB,0.21GB,,0.0~169.58GB,0.417GB,,,-0.029095,-0.058988,,,,,,0.191938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
